4750.0 0.000
4800.0 0.030
4850.0 0.084
4900.0 0.163
4950.0 0.301
5000.0 0.458
5050.0 0.630
5100.0 0.780
5150.0 0.895
5200.0 0.967
5250.0 0.997
5300.0 1.000
5350.0 0.988
5400.0 0.958
5450.0 0.919
5500.0 0.877
5550.0 0.819
5600.0 0.765
5650.0 0.711
5700.0 0.657
5750.0 0.602
5800.0 0.545
5850.0 0.488
5900.0 0.434
5950.0 0.386
6000.0 0.331
6050.0 0.289
6100.0 0.250
6150.0 0.214
6200.0 0.181
6250.0 0.151
6300.0 0.120
6350.0 0.093
6400.0 0.069
6450.0 0.051
6500.0 0.036
6550.0 0.027
6600.0 0.021
6650.0 0.018
6700.0 0.016
6750.0 0.014
6800.0 0.012
6850.0 0.011
6900.0 0.010
6950.0 0.009
7000.0 0.008
7050.0 0.007
7100.0 0.006
7150.0 0.005
7200.0 0.004
7250.0 0.003
7300.0 0.002
7350.0 0.001
7400.0 0.000
